text,retweet,likes,target
ancora caso maltrattamenti uomo chiaromonte pz è stato arrestato aver aggredito ex convivente,1,0,1
false denunce non esistono donna denuncia va sempre creduta motivo avrebbe mentire 😊 falsedenunc,8,0,2
senso responsabilità e sua visione possano essere esempio tutte e tutti buon lavoro presiden,13,0,2
quando legge non funziona violenzasulledonne codicerosso,0,0,1
diavolo ha fatto rimanere sul posto lavoro precedenti denunce carico e l autista dell ambulanza non pervenuto violenzasulledonne nonunadimeno febbraio,0,1,0
senso responsabilità e sua visione possano essere esempio tutte e tutti buon lavoro presiden,13,0,2
febbraio giornata mondiale contro violenzasulledonne nonunadimeno,0,0,0
bello video violenciacontramulher violenzasulledonne,0,1,2
senso responsabilità e sua visione possano essere esempio tutte e tutti buon lavoro presidente mattarella mattarellabis violenzasulledonne s,13,23,2
impedire violenzasulledonne piaga profonda va contrastata forza mattarellabis giuramento,1,0,1
mattarella dignità è impedire violenzasulledonne piaga profonda e inaccettabile deve essere sanata l educ,1,0,1
impedire violenzasulledonne piaga profonda va contrastata forza mattarellabis giuramento,1,3,1
mattarella dignità è impedire violenzasulledonne piaga profonda e inaccettabile deve essere sanata l educazione e l esempio quirinale giuramento,1,7,1
presidente mattarella ricorda lorenzoparelli morto fabbrica durante progetto scuola lavoro e richiama l attenzione contro antisemitismo e aggressioni alle minoranze e violenzasulledonne praticamente più applauso al minuto tenete conto colleghi,0,1,1
tutti campo contro violenza sulle donne occasione della giornata contro violenza sulle donne uisp chia,1,0,1
avrebbe abusato dentro ambulanza studentessa universitaria approfittando della fatto ragazza si era sentita male aver bari violenzasessuale violenzasulledonne s t co clfgwqnxfm,0,0,0
solo memo e antidoto propaganda violenzasulledonne italia è fenomeno gonfiato motivi business,5,0,1
cambiamocultura potete leggere l intervista all artista eli b stilista designer e firma della collezione ha sfilato budapest fashion novembre occasione della giornata contro violenzasulledonne,0,0,0
femminicidi inizio anno incremento dell rispetto al ognuno deve sentirne peso sulle spal,344,0,1
chi ha paura del linguaggio si può parlare tutto anche bambini basta sapere scegliere parole giuste violenzasulledonne,0,0,1
mi piace pensare questa danza petali rossi sia grido forte e potente tutte quelle donne violentate e uccise,630,0,2
bambini sottratti crimini invisibili stolen children invisible crimes report by luisa betti dakli sott en campagna contro violenza maschile sulle donne crimininvisibili donnexdiritti violenzasulledonne bambini febbraio,0,1,1
oggi febbraio sono donne vittime violenza vogliamo smettere contare uilca uil mobbing e stalking contro ogni forma violenza genere privi donne libertà dignità e futuro femminicidio violenzasulledonne,0,4,1
febbraio giornata mondiale contro violenzasulledonne nonunadimeno ancora altro giorno,0,0,0
siamo oltre violenzasulledonne spftez,0,0,1
slfg assurdità se non reagisci secondi non é violenza abusi donne violenzasulledonne,0,1,1
donne ferite devono sentirsi al sicuro e protette subito se fanno primo passo secondo dobbiamo farlo,48,0,1
violenzasulledonne anche questa non vi siete smentiti schifo dimenticate svelta esser stati dati luce donna come massacrate raptus gelosia 🤗,0,1,2
gennaio giornata mondiale contro violenzasulledonne nonunadimeno,0,0,0
enne è stato arrestato dai carabinieri catania ordine del gip del tribunale della città etnea catania violenzasessuale violenzasulledonne s t co nlppxqvkd,0,0,1
violenzasulledonne zelig buon spettacolo tutti stasera,27,0,2
quando si smetterà cercare mille stupide scuse colpevolizzare vittima punire vero colpevole violenzasulledonne nonunadimeno s t co vofsqaorh,0,1,0
se avesse rubato portafoglio sarebbe stato valutato solo furto non reazione della derubata ma tribunale trenta secondi reagire sarebbero troppi molestia hostess violenzasulledonne,12,18,1
gennaio giornata mondiale contro violenzasulledonne nonunadimeno,0,0,0
occasione della giornata sulla violenza contro donne narratore audiolibri vi propone selezione audiolibr,3,0,1
cari maniaci sessuali e sprezzanti delle donne genere non temete avete sempre grande rete sicurezza nella magistratura italiana racconto è credibile ma ha reagito tardi cosa sessismogiudiziario molestie violenzasulledonne sh,0,7,1
gennaio cosa significa non essere credute vittimizzazione secondaria nei tribunali sulla del vivere,3,0,2
considerato palpeggiamento della giornalista si deduce mano morta non è ancora stato fatto funerale,2,0,2
corpo degli uomini e corpo delle donne pacca sul sedere greta beccaglia sullo sfondo della tragedia rav,1,0,1
molestie subite diretta gretabeccaglia giornalista toscana tv sono gesto ignobile attacco alle l,602,0,1
risorse della pseudosinistra combattere patriarcato e violenzadigenere,0,0,1
infiltrato maschilisti siiw via maschilismo feminism femminismo mgtow incel redpill feminist femminista uomo donna uguaglianza violenzadigenere,0,0,1
come uccidere uomo senza spargimento sangue raffinata specialità femminile dirittimaschili violenzadigenere,3,0,0
progetto maree cav randi abbiamo organizzato incontri aperti violenzadigenere tratta violenzasuiminori violenzaassistita vittimizzazionesecondaria trauma affrontandone anche aspetti antropologici e legali online iscrizioni mail locandina,0,0,1
violenzadigenere senza filtri osservata uomo ed espressa uomo tre minuti this is manifesto l ultimo cortometraggio ippogrifo produzioni firmato dal regista veronese alberto rizzi sxvgrm,0,0,1
febbraio youtube torvergata cittadinanza attiva e paritaria decostruzione degli stereotipi sociali prevenire e contrastare violenzadigenere ssbpeeit,0,3,1
risorse cui pseudosinistra riempie l italia e l europa decenni femministe radical chic siete azione combattere patriarcato e violenzadigenere,0,0,1
chi sono persone bisessuali e quali rischi hanno quando si nascondono sex amigay comingout msmw depressione abuso stupefacenti violenzadigenere ipv,0,0,0
palazzospada confronto giudice amministrativo e penale tutela preventiva vittime violenzadigenere pres,1,0,1
violenzadigenere e stato presentato pesaro sicurezzavera progetto nazionale prevenzione della violenz,1,0,1
violenzadigenere e stato presentato pesaro sicurezzavera progetto nazionale prevenzione della violenza genere fipe confcommercio e polizia stato scopri più,1,1,1
mescolano l hiphop tradizione musicale rom e l attivismo diritti ragazze e donne nella propria comunità,1,0,1
convegno benevento sul tema dall analfabetismo emotivo violenza genere spazio acli unisannio analfabetismoemotivo violenzadigenere donne benevento suobgdum,0,0,2
abruzzo gennaio sabato violenzadigenere segregataincasa botteallacompagna avezzano picchiata e segregata casa arrestato vive struttura protetta s t co kdqmrx,0,0,2
spagna nuove leggi contro violenzadigenere spagna si sta sempre più perfezionando cercare,1,0,2
spagna nuove leggi contro violenzadigenere spagna si sta sempre più perfezionando cercare contrastare violenze genere italia violenze aumentano link all articolo sxxornxuei,1,2,2
non ho parole solo parolacce 😠 femminicidio stopviolenzasulledonne,0,0,0
questa cosa va ricordata sempre e non solo oggi nonunadimeno stopviolenzasulledonne,348,0,0
parole hanno peso mandano frantumi sensibilità chi ascolta alessandro corbelli riflessionialessandrocorbelli veritàegiustiziaperirenepalacino bambinavenduta nomafia roma nonunadimeno alessandrocorbelli bastaviolenzasulledonne marzo,0,1,0
conservatori dicono donna lesbica testa rasata sembra uomo nonunadimeno chiede donna lesbica se è non binaria testa rasata,0,0,2
ancora e ancora nonunadimeno civogliamovive femminicidi,0,0,0
violenza del giorno donna reggioemilia anni l avrebbe bloccata sedile del treno costringendo,4,0,1
